"Code","Title","Date début de validité","Date de fin de validité","Définition"
"13ER","13eme RUE","07/02/2014","","France Télévisions Publicité"
"2","FRANCE 2","07/02/2014","","France Télévisions Publicité"
"2M","2 M","20/09/2016","","MCNC"
"3","FRANCE 3","07/02/2014","","France Télévisions Publicité"
"5EM","FRANCE 5","07/02/2014","","France Télévisions Publicité"
"6TER","6TER","07/02/2014","","M6 Publicité"
"AB1","AB1","07/02/2014","","Regis Pub"
"ACT","ACTION","07/02/2014","","Regis Pub"
"AER","AEROSTAR TV","07/01/2016","31/01/2019","REMICS et Cie"
"AL","FRANCE 3 ALSACE","01/11/2012","","France Télévisions Publicité"
"AL20","ALSACE 20","07/02/2014","","RTR"
"ALG3","ALGERIE 3","10/11/2015","30/11/2017","MCNC"
"ANX","ANIMAUX","07/02/2014","","Regis Pub"
"AP","FRANCE 3 ALPES","01/11/2012","","France Télévisions Publicité"
"AQ","FRANCE 3 AQUITAINE","01/11/2012","","France Télévisions Publicité"
"ARTE","ARTE","07/02/2014","","KETIL MEDIA"
"AU","FRANCE 3 AUVERGNE","01/11/2012","","France Télévisions Publicité"
"BFMB","BFM BUSINESS","07/02/2014","","NEXT Régie"
"BFML","BFM LYON","01/07/2019","","NEXT Régie  "
"BFMP","BFM PARIS","22/09/2016","","NEXT Régie"
"BFMS","RMC SPORT NEWS","03/05/2016","","NEXT Régie"
"BFMT","BFM TV","07/02/2014","","NEXT Régie"
"BN","FRANCE 3 BASSE NORMANDIE","01/11/2012","","France Télévisions Publicité"
"BNG","BOING","01/01/2017","","France Télévisions Publicité ( chaine TURNER)"
"BO","FRANCE 3 - BOURGOGNE","04/08/2017","","France Télévisions Publicité"
"BOO","BOOMERANG","01/01/2017","","France Télévisions Publicité (chaine TURNER)"
"BR","FRANCE 3 - BRETAGNE","04/08/2017","","France Télévisions Publicité"
"BS1","BEIN SPORT 1","01/01/2016","28/02/2018","BEINSPORTS"
"BS2","BEIN SPORT 2","01/01/2016","28/02/2018","BEINSPORTS"
"BS3","BEIN SPORT 3","01/01/2016","28/02/2018","BEINSPORTS"
"BTFR","BET","07/02/2014","","VIACOM"
"C33","CANAL 33","07/02/2014","","Régie Télé Vidéo"
"C8P","C8+","01/01/2017","","CANAL + REGIE"
"C8SP","C8Star+","01/01/2019","","Regroupement de C8,Canal+ et CStar, en régie chez CANAL+BRAND SOLUTIONS"
"CA","FRANCE 3 - CHAMPAGNE ARDENNE","04/08/2017","","France Télévisions Publicité"
"CA32","CANAL 32 (Troyes)","07/02/2014","","RTR"
